KODE,NAMA BAHAN,BERAT STANDAR,BDD,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,BKAR,KARTOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,HARGA PER-BERAT STANDAR
BP060,Sagu Rendang,100.0,100.0,8.2,364.0,0.1,0.2,90.5,1.9,1.0,13.0,9.0,3.9,42.0,15.1,0.1,0.1,,0.0,0.0,0.0,0.6,0.8,0.0,0
BR022,"Sagu singkong, kering",100.0,100.0,12.0,362.0,0.5,0.3,86.9,,0.3,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,0.0,0
BP061,Sagu sinole,100.0,100.0,22.0,354.0,0.8,8.3,68.9,,0.1,10.0,30.0,0.8,30.0,11.0,0.2,0.3,0.0,0.0,0.0,,,,0.0,0
ER098,"Salak bali, segar",100.0,93.0,85.1,57.0,0.5,0.1,13.6,1.3,0.7,94.0,25.0,2.1,,,0.1,0.2,0.0,3.0,37.0,0.0,,,0.0,0
ER099,"Salak medan, segar",100.0,93.0,78.1,55.0,0.4,0.2,12.8,3.2,8.5,6.0,46.0,0.5,39.0,113.0,0.2,0.3,0.0,4.0,,0.0,0.0,,58.0,0
ER100,"Salak pondoh, segar",100.0,59.0,77.9,87.0,0.8,0.4,20.1,0.0,0.8,38.0,31.0,3.9,,,0.1,0.2,0.0,,40.0,0.0,0.1,0.1,8.0,0
ER101,"Salak, segar",100.0,93.0,78.0,77.0,0.4,,20.9,,0.7,28.0,18.0,4.2,,,0.1,0.2,,4.0,0.0,0.0,,,2.0,0
EP010,Sale kesemek,100.0,100.0,25.0,296.0,1.1,0.6,71.4,,1.8,,,,,,,,,,,,,,3.0,0
EP011,Sale pisang siam,100.0,100.0,28.9,281.0,2.4,0.7,66.1,1.0,2.0,41.0,64.0,1.2,,,,,,,272.0,0.1,,,0.0,0
EP012,"Sale pisang, cilacap",100.0,100.0,27.1,295.0,2.3,2.1,66.9,1.3,1.7,47.0,97.0,2.8,,,,,,,296.0,0.1,,,,0
EP013,Sanggara belanda,100.0,100.0,47.1,242.0,6.4,7.1,38.2,,1.2,,,,,,,,,,,,,,,0
KP003,Santan (dengan air),100.0,100.0,80.0,122.0,2.0,10.0,7.6,1.4,0.4,25.0,30.0,0.1,9.0,162.4,0.2,0.4,0.0,,,0.0,0.0,0.5,2.0,0
KP004,Santan murni,100.0,100.0,54.9,324.0,4.2,34.3,5.6,0.0,1.0,14.0,45.0,1.9,18.0,514.1,0.4,0.9,0.0,0.0,,0.0,0.0,0.5,2.0,0
NP009,Saos tomat,100.0,100.0,69.5,110.0,2.0,0.4,24.5,0.9,3.6,12.0,18.0,0.8,890.0,129.6,0.2,0.3,,357.0,570.0,0.1,0.1,1.7,11.0,0
FP011,"Sapi, abon",100.0,100.0,7.1,212.0,18.0,10.6,59.3,7.5,4.7,150.0,209.0,12.3,,,,,0.0,240.0,138.0,0.2,,,0.0,0
FP012,"Sapi, abon, asli",100.0,100.0,24.8,358.0,14.6,16.1,38.6,2.5,5.8,165.0,136.0,14.6,,,,,3.0,194.0,144.0,0.1,,,0.0,0
FR023,"Sapi, babat, segar",100.0,100.0,76.7,108.0,17.6,4.2,0.0,0.0,1.5,12.0,144.0,1.0,147.0,101.4,0.1,2.2,0.0,49.0,,0.2,0.2,1.7,0.0,0
FP013,"Sapi, daging, asap",100.0,100.0,60.0,182.0,32.0,6.0,0.0,0.0,2.0,15.0,300.0,5.0,1620.0,485.4,0.0,5.1,6.0,,,0.1,0.2,5.9,0.0,0
FP014,"Sapi, daging, dendeng, mentah",100.0,100.0,25.0,301.0,55.0,9.0,0.0,,11.0,30.0,370.0,5.1,,,,,0.0,,,0.1,,,0.0,0
FR024,"Sapi, daging, gemuk, segar",100.0,100.0,60.0,273.0,17.5,22.0,0.0,0.0,0.5,10.0,150.0,2.6,93.0,267.0,0.2,6.4,12.0,0.0,,0.1,0.2,7.3,0.0,0
FP015,"Sapi, daging, kornet",100.0,100.0,53.0,289.0,16.0,25.0,0.0,0.0,6.0,10.0,170.0,4.0,794.0,94.4,0.1,4.0,0.0,52.0,,0.0,0.2,2.7,0.0,0
FR025,"Sapi, daging, kurus, segar",100.0,100.0,69.0,174.0,19.6,10.0,0.0,0.0,1.4,11.0,181.0,2.9,83.0,489.0,0.1,4.9,6.0,181.0,,0.1,0.5,1.2,0.0,0
FR026,"Sapi, daging, lemak sedang, segar",100.0,100.0,66.0,201.0,18.8,14.0,0.0,0.0,1.2,11.0,170.0,2.8,105.0,378.0,4.6,5.2,9.0,198.0,,0.1,0.6,1.3,0.0,0
FP016,"Sapi, daging, sosis (Worst)",100.0,100.0,37.6,448.0,14.5,42.3,2.3,,3.3,28.0,61.0,1.1,765.0,284.5,0.1,1.7,0.0,,,0.1,0.2,4.9,0.0,0
FR027,"Sapi, daleman, segar",100.0,100.0,70.1,183.0,12.0,14.4,1.4,0.0,2.1,43.0,319.0,1.8,277.0,160.0,0.1,0.8,,104.0,,0.3,0.2,8.4,,0
FR028,"Sapi, dideh/darah",100.0,100.0,75.6,98.0,21.9,1.1,0.0,0.0,1.4,7.0,24.0,1.3,150.0,170.0,,0.2,15.0,214.0,,0.0,0.0,0.9,0.0,0
FR029,"Sapi, ginjal, segar",100.0,100.0,74.9,137.0,15.0,8.1,0.9,0.0,1.1,9.0,221.0,7.9,200.0,230.2,,,348.0,583.0,,0.4,1.2,6.1,13.0,0
FP017,"Sapi, hati, sosis (liverworst)",100.0,100.0,56.6,274.0,16.0,22.0,3.0,2.3,2.4,20.0,150.0,4.0,654.0,158.8,0.2,2.2,1201.0,,,0.2,1.0,4.0,0.0,0
FR030,"Sapi, keleponan, segar",100.0,100.0,83.8,84.0,10.5,4.6,0.2,0.0,0.9,20.0,13.0,2.1,73.0,318.0,0.2,1.7,857.0,34.0,,0.1,0.1,0.3,,0
FR031,"Sapi, liver, segar",100.0,100.0,69.7,132.0,19.7,3.2,6.0,0.0,1.4,7.0,358.0,6.6,110.0,213.0,0.5,2.3,13303.0,355.0,,0.3,1.5,11.4,31.0,0
FR032,"Sapi, otak, segar",100.0,100.0,78.9,123.0,10.4,8.6,0.8,0.0,1.3,16.0,330.0,3.6,112.0,243.8,0.3,0.9,0.0,0.0,,0.2,0.2,3.9,18.0,0
FP018,"Sapi, paru, dendeng, mentah",100.0,100.0,9.7,360.0,57.3,6.0,19.2,,7.8,126.0,903.0,21.1,1483.0,864.0,1.2,6.1,2827.0,,,,,,,0
FP019,"Sapi, paru, goreng",100.0,100.0,45.5,268.0,23.9,12.7,14.5,,3.1,102.0,315.0,8.8,923.0,299.0,0.0,1.5,790.0,,,,,,,0
FR033,"Sapi, usus, segar",100.0,100.0,76.7,126.0,14.0,7.2,1.5,0.0,0.6,14.0,115.0,4.0,,,,,61.0,0.0,,0.1,0.3,0.2,0.0,0
GP049,Sardines dalam kaleng,100.0,100.0,47.1,338.0,21.1,27.0,1.0,0.0,3.8,354.0,434.0,3.5,,,,,76.0,0.0,,0.1,,,0.0,0
CP059,"Saridele, bubuk",100.0,100.0,3.0,344.0,30.0,20.0,43.0,6.2,4.0,450.0,500.0,4.0,56.0,2572.3,3.0,4.0,,0.0,2000.0,0.7,0.2,2.0,10.0,0
AP105,Sarimuka,100.0,100.0,61.5,166.0,2.3,2.8,32.9,,0.5,36.0,13.0,2.0,3.0,34.0,0.0,0.0,,,,,,,,0
GP090,Sate Bandeng,100.0,82.4,47.1,283.0,12.1,16.8,20.9,2.0,3.1,118.0,186.0,1.2,543.0,199.0,0.2,0.9,,2.0,0.0,0.0,0.0,0.0,0.0,0
FP065,"Sate pusut, masakan",100.0,100.0,52.1,274.0,12.9,18.6,13.6,,2.8,63.0,190.0,2.7,609.0,,,,133.0,0.0,,0.1,,0.0,,0
FP064,"Sate, penyu, masakan",100.0,100.0,57.4,179.0,22.5,3.5,13.3,0.0,3.3,187.0,238.0,14.4,,,,0.0,,0.0,,0.1,,0.0,,0
DR142,"Sawi putih / pecai, segar",100.0,79.0,96.6,9.0,1.0,0.1,1.7,0.8,0.6,56.0,42.0,1.1,5.0,193.1,0.1,0.1,0.0,862.0,832.0,0.1,0.2,0.4,3.0,0
DR143,"Sawi taiwan, segar",100.0,85.0,91.8,30.0,1.9,0.5,4.4,2.7,1.4,100.0,58.0,1.6,27.0,217.0,0.1,0.7,,1340.0,,0.2,0.1,0.6,33.0,0
DR144,"Sawi tanah, segar",100.0,85.0,94.9,19.0,1.3,0.2,2.9,2.2,1.0,92.0,45.0,1.2,17.0,145.0,0.1,0.4,,815.0,,0.2,0.1,0.1,36.0,0
DR141,"Sawi, segar",100.0,87.0,92.2,28.0,2.3,0.3,4.0,2.5,1.2,220.0,38.0,2.9,22.0,436.5,0.1,0.2,,2042.0,6460.0,0.1,0.2,0.7,102.0,0
ER102,"Sawo duren, segar",100.0,64.0,87.3,64.0,1.0,3.1,8.0,0.8,0.6,18.0,45.0,0.8,13.0,111.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0
ER103,"Sawo kecik, segar",100.0,83.0,73.8,111.0,0.9,2.3,21.6,1.0,1.4,20.0,185.0,0.7,28.0,117.8,0.0,0.1,0.0,119.0,12.0,0.0,0.0,1.5,19.0,0
ER104,"Sawo Manila, segar",100.0,79.0,75.5,92.0,0.5,1.1,22.4,9.5,0.5,25.0,12.0,1.0,26.0,110.2,0.0,0.1,0.0,111.0,60.0,0.0,0.0,1.4,21.0,0
DP047,Sayur asem,100.0,100.0,93.2,29.0,0.7,0.6,5.0,0.6,0.8,40.0,61.0,3.1,,,,,14.0,,2075.0,0.1,,,0.0,0
